qid	text	prediction
1	我还在想有可能是我上年纪了，老了我比我朋友们大一岁，跟他们出去旅游出去玩每一次都会有人管他们要微信，羡慕了	正面
2	清早看到这个话题，一整天都是暖暖的	正面
3	终于不是那种一边吐槽一边又发表情包语气又很好的回复了	正面
4	她姑妈没把她怎么样吧	负面
5	你是会批试卷的	正面
6	不然真的会很酸	正面
7	有些人有三个房子了，左心房右心房还有破防～	正面
8	我总碰到要法人签字的，反问好几遍法人来了吗？来了吗？有些的会回答:您等等，法人在车里……有些的只能回去了下次再来	正面
9	审题，这女的邀请的，然后还关门，我觉得算是，但也不好说吧，毕竟这年头仙人跳也有这种套路，防不胜防	正面
10	看见的一瞬间就是自卑	负面
11	歪楼这种卷儿怎么做呀上次去理发店想做微卷理发师说这种都是拿吹风机和板甲卷发棒搞出来的一次性造型烫不出来	正面
12	水溶兑伏特加超好喝自调鸡尾酒，一定要冰镇	正面
13	没有喝过这么猛我都没有喝过以后试试哈哈哈哈	正面
14	真的好典呀妈呀，我要向她学习！	正面
15	村里找个人写一下这种就行	正面
16	好无语...	负面
17	评论区果蔬的这个有点吓人，就是那种感觉	正面
18	它！抗高反特有用！我第一次去独克宗晕头转向，第二次去我狂炫水溶100，屁事儿没有，我还得驾车、而且上了独克宗我还洗澡了	正面
19	就考吧，谁能考过你啊	正面
20	但是维生素也不能吃太多，多了容易尿结石。一般人正常吃饭水果蔬菜是不用额外补充的	正面
21	哈哈哈哈心情舒畅	正面
22	怪沉的拿扫把划拉划拉就行了	正面
23	之前我妈去银行也是，说了亲属已经去世了，大堂的工作人员就说那不行取不了钱了，但是给我妈送出银行外面了，给她说你换个银行，别说去世了就说动不了了，就能取了。	正面
24	上班熬大夜就靠他	正面
25	草！我真是怕了他们了	正面
26	错的都有3个了，改不改区别不大，但是正确的只有一个，不改那这题无解了！	正面
27	评论区说的对，类似于女生看见潮男一样，单纯就是不喜欢而已，虽然会觉得很会打扮	正面
28	你从哪看的题啊	正面
29	说名字了，我不认识	负面
30	大概率是破防了瞎编的吧	负面
31	悟了，六级就这么考	正面
32	这死亡微笑给我看得难受死了	正面
33	服了，真的令人宫寒	正面
34	这边建议先吹车牌，以免弄完了发现不是自己的车	正面
35	这是我最喜欢喝的饮料	正面
36	我就说我怎么能老做不对，原来是方法不对	正面
37	......	正面
38	正常人谁会随便搭讪人	负面
39	这种直接冷处理，好恶	负面
40	有没有这类视频，想看	正面
41	我爷爷奶奶在宝鸡，汶川的时候说大家都在外面搭帐篷睡觉	正面
42	我那么认真的看！！！	正面
43	公交车那个我懂上中学的时候，就是没零钱，2块钱路费，然后我只有5块钱，准备放进去，司机说等人家上来找你，结果坐到了都没人上来，司机就用手说不用了的意思我就下车了	正面
44	那个卖西瓜的啊不那个买西瓜的知道吧，就那个骑小电驴问这瓜保熟的那个，扮成他	正面
45	长相甜美可爱在小红书是要被唾弃的，必须得长得御姐在小红书才会被人夸。评论区不必再拿自己说例子了，肯定会被炮轰说你长的也就一般、好拿捏这种话	正面
46	有地库的车主表示根本不需要	负面
47	其实大部分男生喜欢的都是看起来有一点土气的美女。	负面
48	男生想一直给女生贴标签“搞笑女不配谈恋爱……”后面想贬低女生安慰自己没有达到目的	正面
49	漂亮又贵气的女生，很受尊敬，我只能这么说。	正面
50	我竟然去下单了	正面
51	博主好美丽的精神状态	正面
52	你就是我的女神，不能不关注，你说不要关注我也要关注，又好看又会说，真的好厉害！！！	正面
53	这车有这配置正常，我的车标配除雪用具是刷子。	负面
54	被骗到了！！	正面
55	一句话反反复复...	负面
56	真的不是假发	正面
57	下次这样对答案	正面
58	反向思维，学到了	正面
59	我们这公交车可以先上车，但是到达下一站之前你得刷卡，不然下一站到了你就得下车	正面
60	他是不是在改答案	正面
61	维生素调月经？真的吗？痛经的我立刻去塞两瓶	正面
62	这不得厉害鼠	正面
63	这个意思就是可以啊，但是超出首重部分得自己补	正面
64	所以晕车管用吗	正面
65	就喜欢喝酸的哈哈	正面
66	这歌原来也可以这么甜	正面
67	你不是说要早睡吗	负面
68	这种会没对象？？	负面
69	所以我一直不明白，那种八百年没说过话的，一上来就说什么我暗恋你好多年了，我们俩在一起吧，是凭什么觉得别人会跟你在一起	正面
70	男的觉得配不上喜欢那种看起来比自己弱的温柔的	负面
71	我也喜欢这个，可是我大洛杉矶连个雪毛都没有	正面
72	笑死我了马上实现	正面
73	也是一开始我也被整的很焦虑也有想过要不结婚	负面
74	好想和喜欢的人一起看雪	正面
75	你为什么评论里的随手一拍都要加滤镜	负面
76	我这两天刚遇到的，深圳二档社保去其他医院必须转诊，但是如果你说了你是妊娠的话转不了也用不了统筹报销，如果做其他检查就可以转，护士说的很明显了我后面才反应过来，不过还好这次我用不上，下次就知道了，先转过去再说！	正面
77	我一天摄入1000	正面
78	刚好，还没结婚就刷到了，正好我也挺喜欢听棱镜	正面
79	对我的乳腺很好	正面
80	我爷爷叫我大学毕业前不要谈恋爱要把学习搞好。我现在果然还是母单。我现在23了但是我叔说我现在还小好好学习最重要（准备考研中	正面
81	笑死了反向改题	正面
82	就经历过一次地震我爱熬夜晚上一点多躺在床上感觉从斜对角的床角那开始的忽然晃了一下像是有人在那边蹬了一脚床垫	正面
83	不是怎么会真有这种人	负面
84	笑死我了我也要这么学	正面
85	《》真的好看！！！！！就是因为这部剧才粉到李钟硕！太帅了！！！！！	正面
86	有的有的，我当时在上小学，铁凳子是崴着坐，就是后两条凳子腿支点，我还在说谁啊一直晃我凳子，然后隔壁高一年级的已经冲下楼了，我们还在上课，才知道是地震，然后回家后就是铺天盖地的新闻。	正面
87	我才不想被男人喜欢	正面
88	刚打开小红书就看到爽文了哈哈哈！谢谢姐妹！	正面
89	真的，水溶100这么好，北师大能不能进点货？	正面
90	他说“你不配谈恋爱”的时候我甚至感觉这是句祝福语，姐为啥要谈恋爱，姐要用大把的时间搞钱搞事业	正面
91	什么鬼，虽然我爱喝，但是我不会信的，这一瓶下来，添加糖都多少了	负面
92	减肥的人实在是伤不起，太多糖	正面
93	不理解为什么还能聊这么多，两三句给他打发走	正面
94	第一张就烂掉了，怎么能做到这么典型……	正面
95	好美考试加油中考加油就要上岸了	正面
96	看噎住我了她耐心真好	正面
97	100给了你多少广告费……	正面
98	有没有像我这种人，出门旅游，大家超爱问我路怎么走，帮我们拍一下照可以吗，还有给我转账，他们想要现金……噗	正面
99	大姐：不坑坑你你不会长大的	负面
100	我多喝几口，牙酸	正面
101	嘻嘻，如果是我，那个笑脸一出来我就破防咯，直接开骂啊哈哈，留着当电子宠物啊	正面
102	满脑子头皮屑	正面
103	定一套自己的标准，自己认可的完整才是真的完整。	负面
104	好像挺伤感但也挺好的好像	负面
105	我也是，火车票补票，中间有几个站，列车员问我从哪一站开始补，我从上站说的，他说:你确定？问了两遍？其实我补完脑子就转过来了，其实可以少说几个站，只要下车站是对的就行	正面
106	甜妹吗感觉现实中甜妹很吃香昂	正面
107	希望我改卷老师也这么聪明	正面
108	好像跟你一起步入婚姻的殿堂，蓉	正面
109	跟这样的男的说那么多干什么，直接拉黑，别跟他废话，浪费自己的时间	正面
110	保时捷就是不一样	正面
111	这个我在学校也看过诶！确实很像下雪	正面
112	不爱代糖，微微一点糖本就是神经的快乐。	负面
113	明天去药店买瓶维生素	正面
114	我完全不记得了	负面
115	有种看洗地毯的快感	正面
116	被搭讪的都是那种看着乖乖女小漂亮乖乖的	正面
117	我的朋友都说我看起来就很傻很好说话，所以会被我前夫哥渣男看上	负面
118	此时一个看到第三章就已经开始忍不住想骂的天秤座举手	负面
119	这表情包都太好玩了全程看表情包	正面
120	水溶100调酒不错	正面
121	作者怪有耐心的我看得拳头嘎吱嘎吱响	正面
122	哪个口味好喝！！！！	正面
123	还以为是什么炸裂的八卦	正面
124	是你吗？西门吹雪？	负面
125	这个微笑是在干嘛啊	正面
126	偶尔被搭讪，但我不是啥大美女，只是单纯体格子大我估计是很多人害怕了不敢搭讪175140斤	正面
127	带双方身份证和存折+密码	正面
128	没咋喝过，下次试试	正面
129	哇哇，公交车那个真的是这样哎！！！司机大叔们真好呀	负面
130	别的不说，我晕车的时候喜欢买两瓶，主要是因为酸	正面
131	原来是这样学的	正面
132	你怎么能做到跟他说这么多话的翻了几页居然还没翻完	正面
133	我外婆：你要找个厉害的好的男人嫁了	负面
134	地壳运动这名字起的真符合事实	正面
135	真的假的我觉得挺好喝的！但学校不卖没品的学校	正面
136	评论内容	正面
137	现实中基本上是这样的，当然了有钱的不算哈，就是普通家庭的男生吧，尤其是到了一定年龄考虑结婚的那种，一般都比较务实了。	正面
138	这，，。冒昧的问一下，这是几零后的聊天方式有一点点不适应	负面
139	我现在就开始剪一路生花	正面
140	从来没有搭讪过任何一个人	负面
141	这男的有够尬的	正面
142	又说不搭讪，搭讪了你又说别人普信男	负面
143	我直接搞起来哈哈	负面
144	所以我觉得非常耻辱	负面
145	一看这个头发就很值钱，绝对不是一般小店做出来的	正面
146	车牌咋没选个250呢	正面
147	太喜欢听你说话了美女	正面
148	下午就看过咯	正面
149	学会了加水喝哈哈哈	正面
150	科三，每次练习都忘了右转向灯，考试时候刚好有个车停了，我停他后面，就差一个右转弯就过了，但是没打转向，等红绿灯时候，大哥伸了个懒腰我立刻懂了，一次通过	正面
151	喝一周一瓶喝	正面
152	保存！收藏！借鉴！	正面
153	想买一顶这样的假发，姐妹们有推荐吗？	正面
154	头皮发麻，好恐怖	正面
155	因为她看起来就很贵啊	正面
156	宝宝学会了吗	正面
157	我开迈巴赫.停大街上	正面
158	我是在开玩笑啊	负面
159	哇我很喜欢喝！！！	正面
160	视频怎么做呀	负面
161	怎么哪里都有半佛啊？站关了，小红书就顺便关一下吧	正面
162	姐妹你太清醒了哈哈哈	正面
163	吾辈楷模，女王万岁万岁万万岁	正面
164	好好好学到了	正面
165	我爸去世之后他车子的绿本也找不着了，我去补办说要先去公证去公证，后来我妈去，遇见那个交警队办事的民警，他直接说你就说人在外地回不来，然后10块钱就补办了啥也不要	正面
166	留着干嘛？过年？拉黑啊	正面
167	我也看到这个了哈哈哈哈	正面
168	老子的意大利炮呢	正面
169	那我自己买瓶维泡水喝	正面
170	真的，有天出去玩热死没带水，好不容易有个自动贩卖机买了瓶水溶100，吨吨吨下去半瓶感觉活过来了	正面
171	不行这个记不住	正面
172	我考科目三也是靠边停车快到边的时候安全员一只手搭在车窗上不经意的敲了敲车门我立刻停下然后就过了	正面
173	，我真的要笑死了	正面
174	关键是它不好喝。	正面
175	脾气真好，我都不会跟他废话，一个星期不理看他还天天来聊天不	正面
176	有一种被知识了的感觉	正面
177	这视角像是射击游戏	负面
178	和这种你还能聊这么多啊……是我早闭麦了浪费时间……	正面
179	我真的是个笨蛋，基本的暗示我都听不懂	正面
180	这一局保时捷赢	负面
181	真那么喝，泌尿外科了	正面
182	在医院住院想晚上回家，护士姐：你不问就是可以回	正面
183	无糖版那是保健品了，又有营养又不好喝	正面
184	怎么才能吹出保时捷	正面
185	我昨天刷到过，救命	正面
186	告诉他别人是两条腿短他是三条腿短	正面
187	还真有人觉得大多数长辈催婚是出于好心，大多数是闲的没事干想拿捏小辈，极品多的你无法想象，关系好的长辈能说为你打算，你几个关系好的亲戚，半生不熟一年见一次的亲戚催你结婚憋啥屁你心里应该有数	正面
188	我就知道是单词	正面
189	我们也用这个吗	负面
190	参考答案：我到底遭了什么罪呀	正面
191	她头发好好看	正面
192	不是的是感觉会很浪	负面
193	这个特别真实，表面上是喜欢你，实际他只喜欢他自己，能同时和好多人聊天暧昧，看谁上头就和谁在一起	负面
194	真好啊，结婚前看到你的视频就好啦	正面
195	我用这玩意抗过去了口腔溃疡，一瓶	正面
196	？这么6吗下次路过买一瓶	正面
197	干嘛要吹我车	负面
198	你好会说没有脏话但是看得很爽	正面
199	我每次口腔溃疡就喝这个喝了就好	正面
200	要是这样的话我是不是就会科科满分了	正面
201	我证明，好看的不好看的，我都不敢搭讪。因为我是屌丝，怕别人骂我	正面
202	啊啊啊笑死我了	正面
203	完了，以我的智商……别人这样跟我说我还不想占别人便宜……或者以为别人看错了或者说错了我估计还的纠正过来	正面
204	因为一看就不好搞，弄不好还会被拒	正面
205	有天地铁提前出了站，跟安保说，他说你还要再花三块钱嘛，我说不然呢，他说那你去入口刷卡吧	正面
206	不要说这种，任何女的都不敢上去搭讪	负面
207	笔给你接着写！	正面
208	啊哈哈哈哈笑死我了	负面
209	正常人一般的确不搭讪。正经人谁搭讪？	正面
210	啊我有阵子喝了好多一天喝2瓶	正面
211	这个才是能在网上学到的有用的东西好吧	正面
212	趁着期末复习赶紧收藏	正面
213	早八看这个根本出不去	正面
214	喝西柚味的行不行，我觉得西柚味好看一点（其实忘了它俩口感上有什么区别了）	正面
215	还能管晕车哈哈哈哈你下次也试试	正面
216	刷到姐妹这条是有原因的，几个月前也突然出现找我聊天的小学同学，让我给他介绍对象	负面
217	那是不是孕早期吐的吃不下饭。就可以喝水溶100活着？？？	正面
218	啊突然小脑萎缩了	正面
219	这饮料还不错的	正面
220	无所谓，冰雹会出手	正面
221	这样的人只有两个极端。	负面
222	我自己就很搞笑了。我工作很轻松，朝九晚六的，闲得没事干，就去干兼职，摆地摊跑外卖啦。	正面
223	最讨厌别人发（长辈除外）	正面
224	我都兑水喝……阳的时候一天喝一瓶兑一升水	正面
225	哪里有这么多想法，男女之间很简单，喜欢就行动，适合就继续，不适合就欣赏一下，出于心止于智	正面
226	你火了，快借给河南那个网友用用	负面
227	别说健身整挺好。	正面
228	教科书般的破防	负面
229	张万森，下雪了	正面
230	我说现在去小超市总买不到水溶100	正面
231	为什么要和他说那么多啊美女姐姐，直接让他滚然后拉黑就好了啊	正面
232	是的我在银行能给办的都给办了少说几句话你好我好大家好但是就是有人听不懂暗示心累	正面
233	渣男锡纸烫，渣女大波浪	正面
234	好好笑好典型	正面
235	可能是为了岔开字体	正面
236	谢谢，拔草了	负面
237	水溶兑康复新液咋样晚上整个调酒试试，抓一个幸运儿喝光	正面
238	这男的什么玩意	正面
239	哈哈哈，交警小哥哥问我，你没带驾驶证是不是因为有电子驾驶证？我说，没有啊………	正面
240	亲戚问我还不结婚吗？我问他们结婚有什么好处吗？好处是天天当免费保姆吗？反正我现在一言不合就发疯	正面
241	好教科书式的破防	负面
242	站看完，来小红书再看一遍！！支持老婆！！	正面
243	好喜欢的精神状态	正面
244	他怎么做到和搞笑帖子一样标准的破防的	正面
245	怎么我爷爷奶奶一点都不封建	正面
246	你能给我当家教吗？教教我怎么说话	正面
247	我恨你我恨你	正面
248	所以说每次地震听到的轰隆隆响是从地下传来的吗我一直以为是房子晃动发出来的声音	正面
249	“我要是对你抱有过一点心思我就去死。”哈哈哈，这句话笑死我了	正面
250	主要是解酒快	正面
251	打招呼次数没有了，后台丝我一下哈	正面
252	主要是有自知之明，因为搭讪别人也不会理	正面
253	看了感觉真可怜	正面
254	疫情的时候，我们领导说非必要不出县。如果没有什么急事的话，周末最好是不要出县。还说“你们自己领会吧”结果把我们这些外地的全都领会回家了。上头要查岗，然后又火速的让我们马上回来还口头批评了我们	正面
255	怎么说呢，就真的很好喝	正面
256	确实就是有点甜	正面
257	跟他讲这么多，给他脸了	正面
258	这样谁还分得清你和爱因斯坦了	正面
259	正经姑娘被搭讪的几率会更低，无论你什么层次，正经人都不会轻易去搭讪	正面
260	我去，还挺有讲究的	正面
261	妈呀！学会了	正面
262	抽烟那个好烦啊，不问就不管	负面
263	真的好可怕，地震不会是大地为了吃人继续生长吧	正面
264	我嘞个豆好好好	正面
265	哈哈哈我现在学小红书问她你婚姻里过得好吗？她蒙圈	正面
266	我发现真的是这样，好像日子过得越是不好的，在婚姻经营的越是差的，越希望别人结婚时有人说相当于水鬼拉人下水。像那种过得很幸福的人，她都不会提这事儿。	正面
267	根本难不倒你	正面
268	第四个真的，说的这么明显了	正面
269	太爽了，好久没看到这么干净利落的回击了，赞	正面
270	我也刷到了好可怕	正面
271	一直都特喜欢水溶水100的我，看完你视频立马下单两箱	正面
272	原来一天300很夸张么我疫情期间买的维泡腾片一片1000	正面
273	从没搭讪的习惯感觉很奇怪。	负面
274	口腔溃疡真的！！每次都见效巨快！！！	正面
275	糖也会上瘾的，说明他含糖量太高	正面
276	讲真我是女生看完都觉得不舒服，我不知道这个男生对你做过什么过分的事了，但是我觉得这样说话太过分了。	正面
277	我还上京东搜了一下结果发现鹊食不配	正面
278	熬夜损失的，给你火箭式补回	正面
279	空腹喝啥冰的都不太好吧	正面
280	笑死我了刷到过类似的	正面
281	我就想问图上这个发型老师真的能搞出来吗？好好看的卷啊！	正面
282	笑得尿了两滴	正面
283	但你会离胰岛素更近一步哈哈哈哈	正面
284	懂了，考研不过如此	正面
285	真的好好看，超级喜欢下雪	正面
286	我觉得这个太好喝了。不是因为能治病，就是觉得好喝，哈哈	正面
287	写的什么稿子真么多重复我怀疑你小子水时长	正面
288	你还要耍好久手机才去洗澡睡觉？	正面
289	所以这样搭讪的男生很搞不懂看不见脸就搭讪	正面
290	最近天天刷到这种，救命（）	正面
291	棱镜必须有姓名！	正面
292	隔这学英语呢	正面
293	真的，我喝酒宿醉，就喝自己喜欢的饮料，狂炫一千毫升下去，酒就解的差不多了	正面
294	这种为什么不直接删啊，浪费时间跟他掰扯啥	负面
295	哈哈哈哈就真的很搞笑，完美表达对交谈对象的态度	正面
296	在小红书就是能学到真东西	正面
297	昨天刚喝了一瓶西柚味道的。我说我为啥过两天就想喝，原来身体里缺东西了，要让它来补充	正面
298	什么意思看了三遍没懂	负面
299	好的姐妹，你是多久开始看到效果的？	正面
300	我就是这种，从小没人要过联系方式，只有公司和学校，看起来盛气凌人自信且打扮看起来富婆类	正面
301	他们一般会出手他们把握大的	正面
302	只要一脸正经的毫不修饰的说大实话就好了！你那句“对你抱有一点心思我就去死”，相当的直白相当的妙	正面
303	雪把车牌盖了，上路算不算遮挡号牌？	正面
304	最招搭讪的是日系长裙可能因为没有攻击性我穿长裙甚至被幼儿园小朋友送过野花	正面
305	我一个长相普通的来这只能嗑瓜子	正面
306	不是说含糖量高嘛	正面
307	搭讪加微信然后删掉，她铁定回来扑你	正面
308	因为酸酸的，对治我晕车很有效，其他的效果……罢了	正面
309	夏天看下雪？	正面
310	瞧瞧这头发，就很贵。天天打理哦	正面
311	我饿最爱不仅好喝还补维	正面
312	终于是变质了	正面
313	突然长脑子了	正面
314	哪个理发师烫的好丝滑	正面
315	好典型的破防	正面
316	原来如此，是我方法不对	正面
317	过预产期啦，该打点啦	负面
318	喔我是太空人	正面
319	我喜欢西柚的苦味	负面
320	哇哇哇哇哇！	正面
321	说原则上不行就是行说原则上行就是不行那就得看那个人怎么给你说了	负面
322	我用它擦脸，晚上睡觉的时候，后面觉得贵就没用了，有点美白的作用	正面
323	躺卷文化是啥为啥最近你这么多产	负面
324	我早上刷到的	正面
325	我翻到后面都没看到英文单词，这居然是真事？！单词呢！	正面
326	这个红笔看起来好好用啊有链接吗？	正面
327	喜欢喜欢喜欢这个我们结婚做个这个吧我真的好喜欢这首歌	正面
328	我日和我那个初中车友一模一样	正面
329	我就说上网能学到知识	正面
330	我从来没被搭讪过，因为我发小说我长了一张随时砍人的脸	正面
331	呜呜我是笨蛋里面有几个我看了几遍才看懂你别骂我	正面
332	笑死了，妹妹好会说	正面
333	为什么像爸爸反而是女孩？	负面
334	我想烫这个头发	正面
335	单词歹毒的进入了我的大脑	正面
336	好快乐啊！！南方不配	正面
337	这款得2+吧	负面
338	笑死，骂得好	正面
339	一晚过去了，结果到底谁捆的谁！	正面
340	曾经听一个男生说，男生不敢追太优秀的女生，会选择相对一般而且给人印象好接近的，后来我品品他的话，觉得大部分情况是这样。	正面
341	我靠这语气像不像我给你转的那个男的说的话	负面
342	啊，我们家地方很小。因为户口本有点碎乎了，想去重新办一本。原本很厚一沓户口本，新的只有两个人了户警直接和我说，老本你留着，以后证明亲属关系这东西最管用	正面
343	原来之前做的发放都错了，怪不得我错那么多	正面
344	男生，看完感想：有点像爽文这图片中的男生多少沾点，纯这是	正面
345	已经好久没喝过这个了	正面
346	渣男才敢上啊	负面
347	公交司机原来是这个意思	负面
348	这男的破防了	负面
349	有没有会说的教教我我真的不会怼人不会吵架	正面
350	虽然我是女生，我赞同你的意见，我也不敢搭讪大帅哥，我也觉得在大街上突然去搭讪女生是很不礼貌的行为，女生会害怕	正面
351	第一条别的地方不知道我们这里开死亡证的同时就注销户口了所以不可能存在随便改改日期多拿一个月退休工资的情况	正面
352	要是我英语的话，估计只对几个，或者一个没有	正面
353	也不知道我一个没有男朋友的人收藏了干嘛	正面
354	头发和皮肤，真的是很能看出来一个女生是不是被精心或者富养大的	正面
355	这东西不错！	负面
356	看气场吧，小白花谁都想染指，霸王花谁敢靠近？	正面
357	快给我吓尿了姐	正面
358	精神状态满分	正面
359	现在有以前同学加我微信我都当没看见，要么就是结婚想随便找个人薅份子钱的，要么就是自己找不到对象非要来沾边的，简直搞笑，搞不懂什么样的勇气让他觉得我不结婚就可以让他随便选	负面
360	再有这样的你先往下刷刷	正面
361	脑回路太正常了	正面
362	哈哈哈哈这就是你说的反向改答案	正面
363	哇哇哇，好漂亮	正面
364	好像穿梭在星际中太美了太浪漫了	正面
365	我来帮你扫吧，我都没见过雪	正面
366	抽烟那个一点都不暖，室内默认不能抽烟的好嘛	正面
367	笑死了你就改吧谁能改的过你啊一改一个不吱声	正面
368	用的是5发膜嘛	正面
369	又给我吓拥咧	正面
370	姐你也太会回了，感觉你是好有人格魅力的那种很冷静又理智的姐……好喜欢……	正面
371	怼得好好爽文爱看	正面
372	看到帕拉梅拉笑不出来了	正面
373	之前我疫情请假回家，辅导员说让我直接走他不知道，我非要请假	正面
374	啊呀姐妹把嘴借我	正面
375	地震来之前会有声音就跟卡车过路似的很多人都不信	正面
376	我敲看到这个想起来我靠科三时候教练好像也咳嗽来着，但我太紧张再说相对有把握，根本没意识到	正面
377	买个气泵配合气枪。就是气泵补气的声音很大吹力足够	正面
378	1取钱拿着卡身份证有密码就行了啊	负面
379	怎么这么准她是不是天天蹲女性评论区学习了不然怎么踩这么准	正面
380	笑死……我看上去应该属于好拿捏的，也从来没有人搭讪啊……男生只会搭讪好看的，而不是好不好拿捏的……	正面
381	怀孕时候孕吐吃啥都没用，喝这个就好了，孕吐两个月，我喝了一箱水溶，我只能喝白色柠檬那个，绿色青柠和粉色西柚报喝	正面
382	没搭讪过，不懂	正面
383	有一种感觉，似乎等雪落完之后就能看见他了。	正面
384	原来帕美4也没地下车库	正面
385	一大清早神清气爽	正面
386	这个视觉像落在我手里落在我心上	正面
387	我觉得是这样的	负面
388	知识以歹毒的方式进入我的脑子	正面
389	球球握日的表情包	正面
390	大马力电吹风	负面
391	这个我刷抖音刷到过	正面
392	这雪下得还不小嘞！	正面
393	珠三角太热了	正面
394	我要这根红笔	正面
395	直接吃维片不就好了，这个不含糖，的那种，两块钱60片。泡腾片还是贵的。吃水溶100主要还是好吃，享受糖的味道。	正面
396	前阵子我毕业就不联系的小学同学突然给我发消息，说他路过了我家，突然想起我了，然后就开始怀念过去，感叹现在，接着就说想见面	负面
397	我们结婚也搞这样的	正面
398	长这么大只有一个男生搭讪，基本上都是招老年人来问路	正面
399	一辈子被老公宠成小公主，过得很开心的催人结婚，我还能理解。那些过得不好的也催人结，可能主打的就是一个“我过得不好，你们也别想好。	正面
400	救命，电动车不带头盔那个就是我前两天发生的，两个警察问我两边是不是第一次，还好我真的是第一次现在看到感觉忽然反应过来了	正面
401	我可认真的看！后面这样！！！	正面
402	这个卷发是真好看啊	正面
403	那就买一瓶咱们三人喝一人满足100然后兑水糖也少了	正面
404	你小子懂点子浪漫的	正面
405	建议学校老师这样改卷子	正面
406	原来一直是答案错了	正面
407	嗯嗯，但要是老人过世之前没有告知子女密码就很麻烦	正面
408	哈哈哈哈，好会说噢妹妹	正面
409	总有一天会用上	正面
410	他们又布吉岛	正面
411	之前看到过一个视频，飘的是头皮屑	正面
412	初中因为长相被异性嘲笑，至今不敢谈恋爱，更没有桃花	正面
413	包括单位事情，有些事你自己想明白了其实不要跟领导，你说了他同意就是他的责任，有规定所以他是不会同意的。你不说出事了你自己担着就行。	正面
414	嗯，他不接我们的暗示	负面
415	审美不一样并不会觉得好看啊	正面
416	我有次就是，高铁坐过站了，应该补缴多坐的钱，我前面也有个坐过站的中年大叔，他一直骂骂咧咧	正面
417	浪漫在哪没.到	正面
418	追不到就互踩呗牛	负面
419	本来就贵、你这么一来、又要贵了	正面
420	以后结婚就用棱镜的歌	正面
421	！原来竟是这样	正面
422	很爱的人才会用这首歌吧	正面
423	《我又不缺美女》典，他是不是把梦里的和片里的美女算上了	正面
424	学生老是问我是不是必须用这个软件，问就是要	正面
425	总结一下：你很漂亮哥喜欢你跟哥在一起，哥很多人追但哥就是喜欢你能得哥喜欢是你的荣幸。被拒绝后：笑死其实我也没那么喜欢你你不会真的以为自己很漂亮吧	负面
426	学校里面不是一抓一大把吗？	正面
427	汶川地震时当时我们离震中有两百多公里但当时地面就像波浪一样根本站不稳	正面
428	直接出无糖版本的，一直想喝，一直又纠结糖	正面
429	我今天铲了半天	正面
430	有个人拿着文件去找前台，前台说：必须本人签字。那人说：他不在。前台：你出去找本人签字那人：他不在我怎么找啊。前台：你出去（其实潜台词就是让他代签）	正面
431	所以不吭声回去也就回去了？	负面
432	这姐嘴巴太牛了我要学	正面
433	我大四的时候，初中一男的说他一直喜欢我，是我没给他机会	正面
434	喝的太齁了，用半瓶掺上水喝，不过这样对我来说还是有点齁，我一般都14瓶掺水喝	正面
435	原来这么厉害	正面
436	真是个小聪明	正面
437	学习了老师们	负面
438	对面发现没有机会就开始破防了吧	正面
439	看着好有气质好贵气	正面
440	所有人都疯了	正面
441	我笑死姐妹好棒！	正面
